date,sentiment_score
2017-06-28,0.9657
2017-07-13,0.9981
2017-07-16,-0.046
2017-07-22,0.9698
2017-07-25,0.9753
2017-07-25,0.979
2017-08-04,0.8989
2017-08-07,0.9712
2017-08-08,0.9846
2017-08-08,0.9909
2017-08-10,0.9818
2017-08-22,0.9919
2017-08-23,0.9729
2017-08-23,-0.09
2017-08-24,0.9919
2017-08-24,0.9938
2017-08-31,-0.984
2017-09-05,0.9744
2017-09-05,0.994
2017-09-05,-0.9623
2017-09-05,0.9408
2017-09-07,0.9817
2017-09-08,0.9956
2017-09-16,0.2732
2017-09-16,0.9571
2017-09-19,0.9531
2017-09-24,0.9813
2017-09-27,0.8636
2017-09-28,0.8453
2017-10-01,-0.4617
2017-10-02,0.9859
2017-10-02,0.9365
2017-10-02,0.9937
2017-10-03,0.9903
2017-10-03,0.9953
2017-10-03,0.9941
2017-10-04,0.8126
2017-10-07,0.9905
2017-10-09,0.9953
2017-10-10,0.9987
2017-10-12,0.9831
2017-10-12,0.9978
2017-10-15,-0.9432
2017-10-15,0.9964
2017-10-16,0.9943
2017-10-16,0.9968
2017-10-16,0.9169
2017-10-17,0.9905
2017-10-22,0.9965
2017-10-23,-0.6597
2017-10-26,-0.4215
2017-10-26,0.978
2017-10-27,-0.9726
2017-10-30,0.9961
2017-10-30,0.9983
2017-10-30,0.9967
2017-11-02,0.9787
2017-11-05,0.9522
2017-11-06,0.9998
2017-11-10,0.9985
2017-11-10,0.9985
2017-11-12,0.978
2017-11-15,0.9954
2017-11-16,0.995
2017-12-20,-0.6586
2017-12-30,0.6369
2018-01-02,-0.9501
2018-01-24,0.9063
2018-01-24,-0.9893
2018-01-27,0.982
2018-01-30,0.9812
2018-01-31,0.2313
2018-02-07,0.9723
2018-02-09,0.9991
2018-02-28,0.9988
2018-03-02,-0.9973
2018-03-05,-0.563
2018-03-07,0.97
2018-03-11,-0.8658
2018-03-12,0.9976
2018-03-12,0.9976
2018-03-14,-0.6238
2018-03-20,-0.5079
2018-03-21,0.9789
2018-03-21,0.9241
2018-03-21,0.9868
2018-03-22,0.9884
2018-03-25,0.994
2018-03-27,0.9921
2018-04-05,0.9961
2018-04-08,0.9931
2018-04-09,0.9971
2018-04-09,0.9971
2018-04-13,0.128
2018-04-23,0.7579
2018-04-23,0.6962
2018-04-24,0.1531
2018-04-26,0.9923
2018-04-30,0.9915
2018-05-01,0.8151
2018-05-01,0.5162
2018-05-10,0.9717
2018-05-10,0.891
2018-05-12,0.9883
2018-05-13,0.9738
2018-05-16,-0.9906
2018-05-17,0.9814
2018-05-18,0.9858
2018-05-18,-0.8442
2018-05-18,0.9858
2018-05-18,0.9858
2018-05-19,-0.1779
2018-05-21,-0.6211
2018-05-23,0.9941
2018-05-30,0.9738
2018-05-30,0.9943
2018-06-01,0.4939
2018-06-05,0.9965
2018-06-06,0.9438
2018-06-17,0.9455
2018-06-19,0.9959
2018-06-28,0.7474
2018-06-30,0.1027
2018-07-04,0.9093
2018-07-09,0.9943
2018-07-10,0.9956
2018-07-11,0.9976
2018-07-13,0.9983
2018-07-13,0.1779
2018-07-16,0.9975
2018-07-27,0.9592
2018-08-09,0.7845
2018-08-09,-0.9728
2018-08-13,0.9925
2018-08-15,-0.9313
2018-08-20,0.9081
2018-08-24,-0.7472
2018-08-25,-0.5868
2018-09-05,0.996
2018-09-06,0.9956
2018-09-08,0.996
2018-09-13,0.9909
2018-09-20,0.9894
2018-09-24,0.6369
2018-09-25,0.9934
2018-09-26,0.9839
2018-09-26,0.9913
2018-09-27,0.8381
2018-09-28,0.9136
2018-09-28,0.8381
2018-09-29,0.875
2018-10-01,0.7003
2018-10-02,-0.4404
2018-10-02,0.9885
2018-10-02,0.9891
2018-10-02,0.9891
2018-10-02,0.9885
2018-10-03,0.7655
2018-10-03,-0.6597
2018-10-04,0.9477
2018-10-04,-0.8612
2018-10-04,-0.8442
2018-10-07,0.5574
2018-10-08,0.9963
2018-10-12,0.969
2018-10-12,0.9758
2018-10-13,0.9934
2018-10-16,0.9984
2018-10-17,0.9984
2018-10-18,-0.9847
2018-10-19,0.9989
2018-10-21,0.9161
2018-10-22,0.9643
2018-11-02,0.9988
2018-11-06,0.9869
2018-11-07,-0.7845
2018-11-07,0.5719
2018-11-20,0.9962
2018-11-20,-0.6597
2018-11-26,-0.4404
2018-11-26,-0.8992
2018-11-28,-0.6597
2018-11-28,0.9954
2018-11-28,0.995
2018-12-02,-0.4883
2018-12-03,0.971
2018-12-03,0.959
2018-12-03,0.9987
2018-12-04,0.6956
2018-12-04,0.9987
2018-12-08,0.998
2018-12-13,0.961
2018-12-22,0.758
2018-12-22,0.9839
2018-12-23,0.9942
2018-12-23,0.875
2018-12-25,0.9653
2019-01-14,0.9919
2019-01-15,0.9726
2019-01-15,0.5187
2019-01-16,0.9726
2019-01-20,0.9949
2019-01-22,0.997
2019-01-22,-0.6597
2019-01-26,0.9892
2019-01-31,0.9382
2019-02-01,0.995
2019-02-01,0.9842
2019-02-02,0.9919
2019-02-10,0.9968
2019-02-20,-0.6124
2019-03-02,-0.9815
2019-03-14,-0.2846
2019-03-14,-0.1027
2019-03-20,0.9931
2019-03-22,0.9984
2019-03-22,0.9802
2019-03-25,0.9947
2019-03-27,0.9842
2019-03-27,0.9938
2019-04-05,0.9956
2019-04-06,0.9813
2019-04-11,0.9906
2019-04-12,-0.9201
2019-04-12,0.9819
2019-04-13,0.9835
2019-04-13,-0.9201
2019-04-17,0.946
2019-04-18,-0.9201
2019-04-19,-0.5423
2019-04-26,-0.9267
2019-04-26,-0.6597
2019-04-27,-0.1655
2019-04-29,0.7277
2019-05-01,0.97
2019-05-01,-0.0209
2019-05-01,0.9909
2019-05-07,0.9464
2019-05-13,-0.9834
2019-05-14,0.9952
2019-05-16,0.3998
2019-05-16,0.9964
2019-05-17,0.9698
2019-05-20,0.9729
2019-05-22,-0.926
2019-05-25,0.9586
2019-05-28,0.998
2019-05-29,0.998
2019-05-29,0.2732
2019-05-31,0.9969
2019-06-05,0.8688
2019-06-07,0.6501
2019-06-11,0.9878
2019-06-12,-0.6597
2019-06-12,0.993
2019-06-12,0.6808
2019-06-13,-0.6597
2019-06-13,0.9927
2019-06-16,0.9335
2019-06-16,0.9361
2019-06-19,0.9938
2019-06-20,-0.0772
2019-06-20,-0.4767
2019-06-20,0.9898
2019-06-24,0.9799
2019-06-26,0.9788
2019-06-28,0.9963
2019-06-30,0.9968
2019-07-02,0.9943
2019-07-03,-0.7579
2019-07-04,0.9971
2019-07-04,0.8495
2019-07-05,0.9682
2019-07-05,0.9969
2019-07-08,0.9779
2019-07-10,0.9967
2019-07-11,0.9109
2019-07-11,0.9756
